country,conversion_select_item,conversion_add_to_cart,conversion_begin_checkout,conversion_add_shipping_info,conversion_add_payment_info,conversion_purchase
Uruguay,81.82,22.73,4.55,4.55,4.55,4.55
Bolivia,80.65,9.68,3.23,3.23,3.23,3.23
Mexico,79.75,13.22,4.13,3.31,2.89,2.48
Peru,84.55,10.00,2.73,2.73,1.82,1.82
Argentina,75.00,8.75,4.38,1.88,1.88,1.25
Chile,78.35,17.53,8.25,3.09,2.06,1.03
Brazil,72.60,8.90,2.40,1.37,1.37,0.68
Ecuador,74.58,10.17,5.08,1.69,1.69,0.00
Colombia,76.36,9.70,4.85,3.03,2.42,0.00
Paraguay,71.43,9.52,0.00,0.00,0.00,0.00
